"vol","cur","cap","tpwr"
"10502","1","14","0.01"
"10506","1","14","0.01"
"10500","1","14","0.01"
"10495","1","14","0.01"
"10503","1","14","0.01"
"10494","1","14","0.01"
"10499","1","14","0.01"
"10495","1","14","0.01"
"10504","1","14","0.01"
"10501","1","14","0.01"
"10490","1","14","0.01"
"10495","1","14","0.01"
"10498","1","14","0.01"
"10498","1","14","0.01"
"10500","1","14","0.01"
"10502","1","14","0.01"
"10497","1","14","0.01"
"10502","1","14","0.01"
"10506","1","14","0.01"
"10507","1","14","0.01"
"10497","0","14","0.00"
"10501","0","14","0.00"
"10496","0","14","0.00"
"10512","1","14","0.01"
"10497","0","14","0.00"
"10491","1","14","0.01"
"10500","1","14","0.01"
"10497","1","14","0.01"
"10501","1","14","0.01"
"10500","1","14","0.01"
"10500","1","14","0.01"
"10499","1","14","0.01"
"10498","1","14","0.01"
"10490","1","14","0.01"
"10505","1","14","0.01"
"10503","1","14","0.01"
"10499","1","14","0.01"
"10499","1","14","0.01"
"10502","1","14","0.01"
"10496","1","14","0.01"
"10498","1","14","0.01"
"10498","1","14","0.01"
"10491","1","14","0.01"
"10495","1","14","0.01"
"10486","1","14","0.01"
"10500","1","14","0.01"
"10491","1","14","0.01"
"10492","1","14","0.01"
"10497","1","14","0.01"
"10490","0","14","0.00"
"10497","1","14","0.01"
"10487","1","14","0.01"
"10498","1","14","0.01"
"10487","1","14","0.01"
"10496","1","14","0.01"
"10500","0","14","0.00"
"10498","0","14","0.00"
"10501","1","14","0.01"
"10497","1","14","0.01"
"10494","1","14","0.01"
"10494","1","14","0.01"
"10491","0","14","0.00"
"10496","0","14","0.00"
"10493","1","14","0.01"
"10499","1","14","0.01"
"10493","1","14","0.01"
"10493","1","14","0.01"
"10498","0","14","0.00"
"10500","0","14","0.00"
"10503","1","14","0.01"
"10496","1","14","0.01"
"10499","1","14","0.01"
"10499","1","14","0.01"
"10504","1","14","0.01"
"10501","1","14","0.01"
"10496","1","14","0.01"
"10501","1","14","0.01"
"10497","1","14","0.01"
"10502","1","14","0.01"
"10504","1","14","0.01"
"10495","1","14","0.01"
"10504","1","14","0.01"
"10502","1","14","0.01"
"10503","0","14","0.00"
"10506","0","14","0.00"
"10500","1","14","0.01"
"10504","1","14","0.01"
"10509","1","14","0.01"
"10507","1","14","0.01"
"10503","1","14","0.01"
"10504","1","14","0.01"
"10505","1","14","0.01"
"10500","1","14","0.01"
"10516","1","14","0.01"
"10505","1","14","0.01"
"10507","0","14","0.00"
"10503","0","14","0.00"
"10508","1","14","0.01"
"10510","1","14","0.01"
"10503","0","14","0.00"
"10509","0","14","0.00"
"10508","1","14","0.01"
"10507","1","14","0.01"
"10505","1","14","0.01"
"10508","0","14","0.00"
"10511","1","14","0.01"
"10502","1","14","0.01"
"10511","1","14","0.01"
"10507","0","14","0.00"
"10511","0","14","0.00"
"10512","1","14","0.01"
"10514","1","14","0.01"
"10512","0","15","0.00"
"10514","0","15","0.00"
"10520","1","15","0.01"
"10522","1","15","0.01"
"10513","1","15","0.01"
"10517","1","15","0.01"
"10511","1","15","0.01"
"10523","1","15","0.01"
"10516","1","15","0.01"
"10516","0","15","0.00"
"10516","1","15","0.01"
"10517","1","15","0.01"
"10517","1","15","0.01"
"10521","1","15","0.01"
"10520","1","15","0.01"
"10526","1","15","0.01"
"10514","1","15","0.01"
"10519","1","15","0.01"
"10523","1","15","0.01"
"10522","1","15","0.01"
"10520","1","15","0.01"
"10521","1","15","0.01"
"10528","0","15","0.00"
"10518","1","15","0.01"
"10527","1","15","0.01"
"10522","1","15","0.01"
